capacity,failure_rate,margin,price,prod_cost,product_type:_auto-portee,product_type:_electrique,product_type:_essence,Quality:_Basic,Quality:_High,Quality:_Medium,Warranty_years:_1,Warranty_years:_2,Warranty_years:_3,Perc_Margin:_High,Perc_Margin:_Low,Perc_Margin:_Medium,attractiveness
-1.8734730221222484,-1.683579191200768,2.342816571848342,2.18783938533128,0.9118722333076232,1,0,0,1,0,0,0,0,1,0,0,1,0.6506482608150532
-1.3804861164434272,-1.7465043727963585,2.8548822654289823,2.395929379804512,0.5830178636908413,1,0,0,1,0,0,0,0,1,0,0,1,0.6997924743016689
-1.3846832649218028,-1.7299990198526698,2.9053577917577385,2.5361899228970173,0.7847593583846394,1,0,0,1,0,0,0,0,1,0,0,1,0.6321289330507346
-1.0303739576153472,-1.7002202190283981,2.4500828561857144,2.142765156159549,0.6696094734971072,1,0,0,1,0,0,0,0,1,0,0,1,0.8107298917700951
-1.5771958373000916,-1.7459364276869305,2.7057689953629267,2.248541112654043,0.5090651833685544,1,0,0,0,0,1,0,0,1,0,0,1,0.7576141622593239
-1.417053617444396,-1.7800384225266483,2.837646621403372,2.48211003853294,0.7763010627180462,1,0,0,0,0,1,0,0,1,0,0,1,0.7770510884931896
-1.7852689896812803,-1.779174994629913,2.9898192875553136,2.579504166793868,0.7480989327083937,1,0,0,0,1,0,0,0,1,0,0,1,0.7660556948184783
-1.9650185771914568,-1.6898606272262702,2.3415018064737034,2.146575492706833,0.8330735790338236,1,0,0,1,0,0,0,0,1,0,0,1,0.5413177342746714
-1.6329772194383507,-1.734170848657415,2.4101424101805358,2.141568503440543,0.7246574659417024,1,0,0,1,0,0,0,0,1,0,0,1,0.6202780688392848
-1.586286659166689,-1.7988229683245898,2.316152026172404,2.1339732563953264,0.8448545804822297,1,0,0,1,0,0,0,0,1,0,0,1,0.5831169102149285
-1.6952332789736175,-1.7891525057441813,2.3607948552535274,2.021705231196742,0.5611802524435399,1,0,0,1,0,0,0,0,1,0,0,1,0.7628837292844171
-1.5995993578711951,-1.7520496652455448,2.560405498831241,2.350739892839244,0.9177692744899024,1,0,0,0,0,1,0,0,1,0,0,1,0.7414593935594491
-1.6806332848528924,-1.7493909393979996,2.421722674953446,2.153355698675657,0.7310672849168885,1,0,0,1,0,0,0,0,1,0,0,1,0.7077885356144931
-1.3995154425409555,-1.7052323368741604,2.6393292460926903,2.193884946627648,0.4976531960486583,1,0,0,1,0,0,0,0,1,0,0,1,0.6186440057191919
-1.4484466680222592,-1.8669849319979035,2.7401846126142617,2.3637430236721304,0.6848823028163443,1,0,0,1,0,0,0,0,1,0,0,1,0.6546111533173826
-2.4015999807445247,-1.7117666699060785,2.811381391825692,2.5849111372247027,1.0150580568301752,1,0,0,0,0,1,0,0,1,0,0,1,0.7664977568314345
-1.838757797923111,-1.7286803291645991,2.6102407682105784,2.277223774315273,0.7024100531382221,1,0,0,1,0,0,0,0,1,0,0,1,0.6219914904971512
-1.2519155791962195,-1.8139555456582488,2.62289060590812,2.2637210861492174,0.6578310212027474,1,0,0,0,0,1,0,0,1,0,0,1,0.7991257862776449
-1.110907175217574,-1.7402598469768396,2.674451927196373,2.3928196030400946,0.8361860859743134,1,0,0,0,1,0,0,0,1,0,0,1,0.8781601261919434
-1.010698585834655,-1.6961778422512794,2.4711167663566607,2.132912971408644,0.6201221151840562,1,0,0,1,0,0,0,0,1,0,0,1,0.6242467033466991
-1.4928947668554726,-1.852702134031134,2.527643637921381,2.184698115032885,0.6401632774722567,1,0,0,1,0,0,0,0,1,0,0,1,0.7401557058046435
-1.5893526772456024,-1.7061259135507905,2.470532536738763,2.2452655426044483,0.8406567100560921,1,0,0,1,0,0,0,0,1,0,0,1,0.6377197147251197
-1.988422392675254,-1.7958840425226492,2.4280171102079238,2.211622671790068,0.8359589268994421,1,0,0,1,0,0,0,0,1,0,0,1,0.6590505813986287
-1.0170292347940666,-1.7849169146137491,2.3701441064213924,2.226553299123436,0.9483085112558788,1,0,0,0,0,1,0,0,1,0,0,1,0.8769423459088639
-1.307583829112034,-1.7799927684037569,2.581254047167666,2.23249832676685,0.6566027537171943,1,0,0,0,0,1,0,0,1,0,0,1,0.7804366144559839
-1.3825907587215414,-1.6959895355336976,2.668989027204301,2.253455447445004,0.5715215579887081,1,0,0,1,0,0,0,0,1,0,0,1,0.7093295015392953
-1.347478506693757,-1.7584871194964904,2.2085214624251908,1.895233044317575,0.5326676327747014,1,0,0,1,0,0,0,0,1,0,0,1,0.5817009585977482
-1.5423263775643292,-1.8273219630898632,2.9112542460870485,2.4283949458222485,0.5655039164035172,1,0,0,0,1,0,0,0,1,0,0,1,0.8782460325815217
-1.303930112730368,-1.7406398536235304,2.580609230936755,2.2552658239058903,0.7020490031457909,1,0,0,1,0,0,0,0,1,0,0,1,0.7095494399086322
-0.954150774833005,-1.8291591157013292,3.116074652749493,2.7116796611901823,0.8251475293466948,1,0,0,0,0,1,0,0,1,0,0,1,0.8184816640373429
-0.666583259281163,-1.7270087229017006,2.464988858569277,2.1514789305830857,0.6652309548085239,1,0,0,1,0,0,0,0,1,0,0,1,0.6483682877573884
-1.3827362952248228,-1.7188596803678768,2.3150888633251325,2.157447935810112,0.8922847561867482,1,0,0,1,0,0,0,0,1,0,0,1,0.6971332166281923
-1.2369892136988057,-1.7451128857806923,2.7028692759137605,2.5137627178813435,1.0318481412528029,1,0,0,1,0,0,0,0,1,0,0,1,0.6352178691301411
-1.6917816269814958,-1.7825136764593552,2.2467703324193904,1.9741981348492357,0.6321192102757266,1,0,0,1,0,0,0,0,1,0,0,1,0.7377621381162401
-1.3478131667765307,-1.752827505024228,2.522475519151059,2.19300406726934,0.6638305532254261,1,0,0,0,1,0,0,0,1,0,0,1,0.952876988940316
-0.9720395343098376,-1.799642422789432,2.7297304780314717,2.444022241063551,0.85688184620864,1,0,0,0,0,1,0,0,1,0,0,1,0.7305259533652401
-1.8693897543822824,-1.7953960711124342,2.5239345172209693,2.1645003869427333,0.6059978763731739,1,0,0,1,0,0,0,0,1,0,0,1,0.583482964494661
-1.4342938944334336,-1.6894540681665111,2.4347485615821483,2.107516379094668,0.6227166138163039,1,0,0,1,0,0,0,0,1,0,0,1,0.7744031952434124
-1.4117856726544409,-1.7653208321191862,2.6218508838067387,2.2671459614437954,0.6660219627011696,1,0,0,0,0,1,0,0,1,0,0,1,0.8761817990917512
-1.4278592783780415,-1.7580161450174832,2.5308246853014342,2.218127624366306,0.7009609692518897,1,0,0,1,0,0,0,0,1,0,0,1,0.8238659466358129
-1.5244932360487873,-1.8015689957903127,2.464955395992107,2.0668749181364867,0.4998436458110842,1,0,0,1,0,0,0,0,1,0,0,1,0.7142707887269144
-1.5992299840587552,-1.7172809413781782,2.41245171339975,2.02085480461206,0.4852948018641901,1,0,0,1,0,0,0,0,1,0,0,1,0.6445686972469615
-1.8179809953721584,-1.7833427430507904,2.6017795364831784,2.42336700113965,1.0003371502499097,1,0,0,1,0,0,0,0,1,0,0,1,0.5955180001675949
-0.4877490241535455,-1.7714026557556664,2.659142787512516,2.2282089609182263,0.5363018163826403,1,0,0,1,0,0,0,0,1,0,0,1,0.6693690564243707
-1.7492509524455184,-1.8207363614576983,2.5811168132928994,2.2120134562628437,0.6167436504338555,1,0,0,1,0,0,0,0,1,0,0,1,0.6290511845858036
-2.003303566380578,-1.8014372129125178,2.9800093427963974,2.5084726855608817,0.6232986818963645,1,0,0,1,0,0,0,0,1,0,0,1,0.5815821573711686
-1.4883365633600434,-1.7568240439734844,2.4361376645493094,2.0841032041409693,0.5749383814059887,1,0,0,1,0,0,0,0,1,0,0,1,0.6798139010640678
