capacity,failure_rate,margin,price,prod_cost,product_type,quality,warranty,market_share,product_type:_auto-portee,product_type:_electrique,product_type:_essence,Quality:_Basic,Quality:_High,Quality:_Medium,Warranty_years:_1,Warranty_years:_2,Warranty_years:_3,Perc_margin,Perc_Margin:_High,Perc_Margin:_Low,Perc_Margin:_Medium,Perc_Margin:_negtive,attractiveness
10.49262331199172,0.042527980886810916,633.7665842034021,828.8021034855202,195.03551928211812,auto-portee,Basic,3,0.006360041749060895,1,0,0,1,0,0,0,0,1,Medium,0,0,1,0,0.6506482608150532
20.273730444538863,0.037896368225955296,731.5768165928986,882.894915941766,151.31809934886746,auto-portee,Basic,3,0.0068404230369599845,1,0,0,1,0,0,0,0,1,Medium,0,0,1,0,0.6997924743016689
20.190456916489122,0.039111245954194296,741.2182024972647,919.3555217086142,178.13731921134956,auto-portee,Basic,3,0.0061790166010061475,1,0,0,1,0,0,0,0,1,Medium,0,0,1,0,0.6321289330507346
27.220131037450038,0.04130311679867133,654.2556353742241,817.0850969501104,162.82946157588628,auto-portee,Basic,3,0.007924828620013936,1,0,0,1,0,0,0,0,1,Medium,0,0,1,0,0.8107298917700951
16.370911056135107,0.037938171867880455,703.0945265657465,844.5814645266527,141.48693796090618,auto-portee,Medium,3,0.007405626037658373,1,0,0,0,0,1,0,0,1,Medium,0,0,1,0,0.7576141622593239
19.548212909002086,0.035428092007083675,728.2846172351573,905.2975029654892,177.01288573033196,auto-portee,Medium,3,0.007595620647289617,1,0,0,0,0,1,0,0,1,Medium,0,0,1,0,0.7770510884931896
12.242635494647624,0.03549164468149561,757.3512858799036,930.615021607817,173.2637357279134,auto-portee,High,3,0.007488141434587316,1,0,0,0,1,0,0,0,1,Medium,0,0,1,0,0.7660556948184783
8.676313646712744,0.042065635322025,633.5154494204178,818.0755906101691,184.56014118975133,auto-portee,Basic,3,0.0052913434136921175,1,0,0,1,0,0,0,0,1,Medium,0,0,1,0,0.5413177342746714
15.26418049511829,0.0388041781854406,646.6265667713467,816.7740281201634,170.1474613488167,auto-portee,Basic,3,0.006063175222973637,1,0,0,1,0,0,0,0,1,Medium,0,0,1,0,0.6202780688392848
16.190544596953682,0.034045454119674474,628.6733599514768,814.7996502793842,186.12629032790744,auto-portee,Basic,3,0.005699927467576097,1,0,0,1,0,0,0,0,1,Medium,0,0,1,0,0.5831169102149285
14.028989091553113,0.03475724923552502,637.20063592737,785.6156751090581,148.41503918168814,auto-portee,Basic,3,0.007457135690872669,1,0,0,1,0,0,0,0,1,Medium,0,0,1,0,0.7628837292844171
