capacity,failure_rate,margin,price,prod_cost,market_share,product_type:_auto-portee,product_type:_electrique,product_type:_essence,Quality:_Basic,Quality:_High,Quality:_Medium,Warranty_years:_1,Warranty_years:_2,Warranty_years:_3,Perc_Margin:_High,Perc_Margin:_Low,Perc_Margin:_Medium,Perc_Margin:_negtive,attractiveness
-1.8734730221222484,-1.683579191200768,2.342816571848342,2.18783938533128,0.9118722333076233,2.354673732704758,1,0,0,1,0,0,0,0,1,0,0,1,0,0.6506482608150532
-1.3804861164434272,-1.7465043727963583,2.8548822654289823,2.3959293798045116,0.5830178636908413,2.622993071882395,1,0,0,1,0,0,0,0,1,0,0,1,0,0.6997924743016689
-1.3846832649218028,-1.72999901985267,2.9053577917577385,2.5361899228970173,0.7847593583846394,2.2535612428469367,1,0,0,1,0,0,0,0,1,0,0,1,0,0.6321289330507346
-1.0303739576153472,-1.700220219028398,2.4500828561857144,2.1427651561595495,0.6696094734971072,3.2286931621546384,1,0,0,1,0,0,0,0,1,0,0,1,0,0.8107298917700951
-1.5771958373000916,-1.7459364276869305,2.705768995362927,2.248541112654043,0.5090651833685544,2.9386899973639418,1,0,0,0,0,1,0,0,1,0,0,1,0,0.7576141622593239
-1.417053617444396,-1.7800384225266483,2.837646621403372,2.48211003853294,0.7763010627180462,3.0448124242522203,1,0,0,0,0,1,0,0,1,0,0,1,0,0.7770510884931896
-1.7852689896812803,-1.7791749946299127,2.9898192875553136,2.5795041667938676,0.7480989327083937,2.984779379556125,1,0,0,0,1,0,0,0,1,0,0,1,0,0.7660556948184783
-1.9650185771914566,-1.68986062722627,2.3415018064737034,2.1465754927068335,0.8330735790338236,1.7577470031469111,1,0,0,1,0,0,0,0,1,0,0,1,0,0.5413177342746714
-1.632977219438351,-1.734170848657415,2.4101424101805353,2.141568503440543,0.7246574659417024,2.188857469435931,1,0,0,1,0,0,0,0,1,0,0,1,0,0.6202780688392848
-1.5862866591666893,-1.7988229683245898,2.3161520261724036,2.1339732563953264,0.8448545804822297,1.9859636429251415,1,0,0,1,0,0,0,0,1,0,0,1,0,0.5831169102149285
-1.6952332789736175,-1.7891525057441813,2.3607948552535274,2.021705231196742,0.5611802524435399,2.9674609683819306,1,0,0,1,0,0,0,0,1,0,0,1,0,0.7628837292844171
-1.599599357871195,-1.752049665245545,2.5604054988312415,2.3507398928392433,0.9177692744899023,2.85048761188272,1,0,0,0,0,1,0,0,1,0,0,1,0,0.7414593935594491
-1.6806332848528924,-1.7493909393979996,2.421722674953446,2.153355698675657,0.7310672849168885,2.666650254188611,1,0,0,1,0,0,0,0,1,0,0,1,0,0.7077885356144931
-1.3995154425409557,-1.7052323368741604,2.6393292460926903,2.193884946627648,0.4976531960486583,2.179935753012953,1,0,0,1,0,0,0,0,1,0,0,1,0,0.6186440057191919
-1.448446668022259,-1.8669849319979035,2.740184612614262,2.3637430236721304,0.6848823028163443,2.3763104753041016,1,0,0,1,0,0,0,0,1,0,0,1,0,0.6546111533173826
-2.4015999807445247,-1.7117666699060783,2.8113813918256914,2.5849111372247027,1.0150580568301752,2.987192965587453,1,0,0,0,0,1,0,0,1,0,0,1,0,0.7664977568314345
-1.8387577979231107,-1.7286803291645991,2.610240768210578,2.2772237743152726,0.7024100531382221,2.1982124704493575,1,0,0,1,0,0,0,0,1,0,0,1,0,0.6219914904971512
-1.2519155791962195,-1.8139555456582488,2.62289060590812,2.2637210861492174,0.6578310212027474,3.165336650846754,1,0,0,0,0,1,0,0,1,0,0,1,0,0.7991257862776449
-1.1109071752175739,-1.7402598469768396,2.674451927196373,2.392819603040094,0.8361860859743134,3.5968511741979263,1,0,0,0,1,0,0,0,1,0,0,1,0,0.8781601261919434
-1.0106985858346553,-1.6961778422512794,2.4711167663566607,2.132912971408644,0.6201221151840562,2.2105255624405524,1,0,0,1,0,0,0,0,1,0,0,1,0,0.6242467033466991
-1.4928947668554726,-1.852702134031134,2.527643637921381,2.184698115032885,0.6401632774722567,2.843369690726882,1,0,0,1,0,0,0,0,1,0,0,1,0,0.7401557058046435
-1.5893526772456024,-1.7061259135507905,2.470532536738763,2.245265542604448,0.8406567100560921,2.2840859931263573,1,0,0,1,0,0,0,0,1,0,0,1,0,0.6377197147251197
-1.988422392675254,-1.795884042522649,2.4280171102079233,2.2116226717900678,0.8359589268994421,2.4005490239464757,1,0,0,1,0,0,0,0,1,0,0,1,0,0.6590505813986287
-1.0170292347940666,-1.7849169146137491,2.3701441064213924,2.2265532991234362,0.9483085112558789,3.5902022937369864,1,0,0,0,0,1,0,0,1,0,0,1,0,0.8769423459088639
-1.307583829112034,-1.7799927684037569,2.581254047167666,2.23249832676685,0.6566027537171943,3.0632968403138,1,0,0,0,0,1,0,0,1,0,0,1,0,0.7804366144559839
-1.3825907587215414,-1.6959895355336976,2.668989027204301,2.253455447445004,0.571521557988708,2.6750636752061387,1,0,0,1,0,0,0,0,1,0,0,1,0,0.7093295015392953
